playerId,season,name,team,position,situation,games_played,icetime,primaryAssists,secondaryAssists,shotsOnGoal,shotAttempts,points,goals,penalties,penalityMinutes,hits,takeaways,giveaways,lowDangerGoals,mediumDangerGoals,highDangerGoals,faceoffsWon,faceoffsLost,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_goals,OnIce_A_goals
8477494,2022,Jonathan Drouin,MTL,L,4on5,58,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8477494,2022,Jonathan Drouin,MTL,L,5on4,58,7029,4,5,10,15,9,0,1,2,0,1,2,0,0,0,7,2,0,0,0,12,2
8481690,2022,Tyler Angle,CBJ,C,other,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8481690,2022,Tyler Angle,CBJ,C,all,2,1377,0,0,5,6,1,1,0,0,2,1,0,1,0,0,8,10,0,0,0,1,4
8481690,2022,Tyler Angle,CBJ,C,5on5,2,1335,0,0,5,6,1,1,0,0,2,1,0,1,0,0,8,10,0,0,0,1,3
8481690,2022,Tyler Angle,CBJ,C,4on5,2,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8481690,2022,Tyler Angle,CBJ,C,5on4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8477330,2022,Dominik Kubalik,DET,L,other,81,2585,3,1,7,13,6,2,0,0,1,0,0,0,0,2,2,0,0,0,1,7,9
8477330,2022,Dominik Kubalik,DET,L,all,81,72480,17,8,174,315,45,20,12,24,89,12,19,7,5,8,17,18,38,19,26,71,63
8477330,2022,Dominik Kubalik,DET,L,5on5,81,58379,9,3,112,205,24,12,10,20,85,11,15,7,4,1,10,12,30,15,24,43,49
8477330,2022,Dominik Kubalik,DET,L,4on5,81,206,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
8477330,2022,Dominik Kubalik,DET,L,5on4,81,11310,5,4,50,90,15,6,2,4,3,1,4,0,1,5,5,0,0,0,0,21,4
8479520,2022,Brandon Duhaime,MIN,R,other,51,599,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
8479520,2022,Brandon Duhaime,MIN,R,all,51,32916,1,0,80,139,10,9,15,42,146,19,10,3,2,4,4,10,50,18,18,20,15
8479520,2022,Brandon Duhaime,MIN,R,5on5,51,29795,1,0,74,129,9,8,14,40,139,17,10,3,2,3,2,10,50,18,16,18,12
8479520,2022,Brandon Duhaime,MIN,R,4on5,51,2407,0,0,6,8,1,1,1,2,7,2,0,0,0,1,1,0,0,0,0,1,1
8479520,2022,Brandon Duhaime,MIN,R,5on4,51,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8476439,2022,Brett Ritchie,ARI,R,other,50,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8476439,2022,Brett Ritchie,ARI,R,all,50,30151,2,3,68,111,13,8,11,25,77,10,18,2,3,3,2,2,27,12,9,20,18
8476439,2022,Brett Ritchie,ARI,R,5on5,50,29324,1,3,68,111,12,8,11,25,77,10,18,2,3,3,2,2,27,12,9,18,17
8476439,2022,Brett Ritchie,ARI,R,4on5,50,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8476439,2022,Brett Ritchie,ARI,R,5on4,50,577,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
8480979,2022,Nathan Smith,ARI,C,other,4,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8480979,2022,Nathan Smith,ARI,C,all,4,1786,0,0,2,6,0,0,2,4,6,3,1,0,0,0,9,11,0,0,3,0,1
8480979,2022,Nathan Smith,ARI,C,5on5,4,1762,0,0,2,6,0,0,2,4,6,3,1,0,0,0,9,11,0,0,3,0,1
8480979,2022,Nathan Smith,ARI,C,4on5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8480979,2022,Nathan Smith,ARI,C,5on4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8474166,2022,Alec Martinez,VGK,D,other,77,3175,1,1,3,5,4,2,0,0,2,0,0,1,0,1,0,0,0,0,11,9,3
8474166,2022,Alec Martinez,VGK,D,all,77,88819,4,7,76,197,14,3,13,29,48,29,30,1,1,1,0,0,19,8,244,81,68
8474166,2022,Alec Martinez,VGK,D,5on5,77,77980,3,6,68,184,10,1,12,27,44,27,29,0,1,0,0,0,15,6,194,63,49
8474166,2022,Alec Martinez,VGK,D,4on5,77,6966,0,0,5,5,0,0,1,2,2,2,1,0,0,0,0,0,0,0,1,7,16
8474166,2022,Alec Martinez,VGK,D,5on4,77,698,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,2,18,1,0
8481704,2022,Juuso Parssinen,NSH,C,other,45,914,0,0,1,1,1,1,0,0,1,2,1,1,0,0,6,4,2,1,0,1,1
8481704,2022,Juuso Parssinen,NSH,C,all,45,38700,9,10,49,92,25,6,6,15,76,26,17,1,3,2,156,155,23,10,18,35,26
