season,name,team,position,games_played,icetime,goalsFor,penaltiesFor,penalityMinutesFor,hitsFor,takeawaysFor,giveawaysFor,goalsAgainst,penaltiesAgainst,penalityMinutesAgainst
2022,Dunn-Soucy,SEA,pairing,39,1626,1,0,0,14,6,3,0,1,2
2022,Simek-Karlsson,SJS,pairing,28,2517,1,0,0,20,10,8,1,4,8
2022,Pitlick-Suzuki-Anderson,MTL,line,11,2891,1,3,6,24,6,15,5,3,6
2022,Bunting-Matthews-Nylander,TOR,line,49,22906,28,24,48,110,80,74,10,30,60
2022,Buchnevich-Thomas-Tarasenko,STL,line,18,8887,11,5,10,49,15,9,9,10,20
2022,Lehkonen-Mackinnon-Rantanen,COL,line,47,19302,12,23,46,93,45,36,14,29,60
2022,Boqvist-Sharangovich-Holtz,NJD,line,11,2977,1,1,2,8,7,11,4,3,6
2022,Provorov-Ristolainen,PHI,pairing,55,15413,6,22,56,175,28,35,14,15,42
2022,Farabee-Cates-Allison,PHI,line,14,1695,0,2,7,15,1,4,1,2,7
2022,Mangiapane-Kadri-Dube,CGY,line,30,13540,12,21,42,112,35,36,11,23,46
2022,Robertson-Pavelski-Hintz,DAL,line,62,38802,43,27,60,194,84,109,22,41,90
2022,Thompson-Mittelstadt-Tuch,BUF,line,13,2508,0,1,2,13,7,6,3,3,6
2022,Walman-Hronek,DET,pairing,27,6675,7,8,18,49,11,15,4,7,14
2022,Middleton-Spurgeon,MIN,pairing,67,53637,37,55,134,405,107,96,22,56,136
2022,Gostisbehere-Stecher,ARI,pairing,33,1240,0,0,0,7,3,1,3,1,2
2022,Cotter-Karlsson-Kessel,VGK,line,15,1169,1,1,2,11,7,0,0,0,0
2022,Holloway-Mcdavid-Hyman,EDM,line,10,757,0,3,9,10,3,3,0,5,13
2022,Lucic-Kadri-Lewis,CGY,line,10,894,0,0,0,10,4,1,2,0,0
2022,Saad-Thomas-Kyrou,STL,line,17,3480,2,3,6,7,21,6,3,2,4
2022,Harvey-Pinard-Drouin-Anderson,MTL,line,10,1771,1,5,10,12,2,4,1,2,4
2022,Farabee-Frost-Tippett,PHI,line,28,5645,6,7,14,33,11,14,5,6,12
2022,Olofsson-Mittelstadt-Quinn,BUF,line,10,2346,1,2,4,8,7,1,1,1,2
2022,Merrill-Addison,MIN,pairing,50,29577,21,36,82,200,66,43,22,42,93
2022,Benoit-Kulikov,ANA,pairing,53,6916,3,5,13,43,4,14,4,7,17
2022,Panarin-Zibanejad-Kakko,NYR,line,16,1723,0,1,2,10,3,6,4,0,0
2022,Hathaway-Eller-Aube-Kubel,WSH,line,10,4072,4,4,8,51,6,10,1,4,8
2022,Mangiapane-Backlund-Dube,CGY,line,24,696,1,1,2,3,5,3,3,0,0
2022,Fehervary-Gustafsson,WSH,pairing,44,3508,3,3,6,37,6,7,2,7,14
2022,Giordano-Timmins,TOR,pairing,16,2369,3,6,14,14,4,7,1,2,4
2022,Middleton-Addison,MIN,pairing,33,2976,1,4,11,29,5,6,4,4,11
2022,Saad-O'Reilly-Kyrou,STL,line,11,2045,1,0,0,9,5,3,3,1,2
2022,Thomas-Buchnevich-Kyrou,STL,line,29,11331,14,11,22,42,30,31,7,5,10
2022,Grzelcyk-Clifton,BOS,pairing,57,9221,5,11,22,73,20,27,4,8,16
2022,Carrier-Stephenson-Stone,VGK,line,12,622,1,0,0,2,2,2,0,0,0
2022,Pettersson-Joseph,PIT,pairing,38,1943,3,4,8,12,3,5,1,1,2
2022,Johnson-Toews-Raddysh,CHI,line,11,6132,4,7,14,50,16,21,4,4,8
2022,Hague-Martinez,VGK,pairing,34,6602,5,5,10,42,13,11,6,5,10
2022,Samuelsson-Lyubushkin,BUF,pairing,32,2572,1,3,4,14,2,3,2,2,4
2022,Giordano-Sandin,TOR,pairing,40,7681,6,19,47,64,23,25,2,9,25
2022,Fowler-Shattenkirk,ANA,pairing,60,6750,8,7,12,24,12,17,4,12,24
2022,Jones-Zegras-Terry,ANA,line,18,610,0,0,0,3,2,4,1,1,2
2022,Miller-Horvat-Garland,VAN,line,25,10420,5,12,24,63,23,22,8,17,34
2022,Lomberg-Staal-Reinhart,FLA,line,12,606,1,3,6,7,1,0,0,2,4
2022,Olofsson-Krebs-Mittelstadt,BUF,line,19,3044,0,3,6,16,7,6,2,2,4
2022,Kane-Mcdavid-Hyman,EDM,line,21,2832,5,4,8,27,4,6,4,2,4
2022,Hoffman-Dvorak-Gallagher,MTL,line,11,3990,6,3,9,21,4,16,2,5,13
2022,Hagel-Paul-Kucherov,TBL,line,27,731,1,2,4,5,2,4,0,1,2
2022,Vlasic-Simek,SJS,pairing,22,1884,0,0,0,18,7,2,5,1,2
2022,Crouse-Boyd-Keller,ARI,line,18,4438,4,1,2,33,8,15,7,4,8
2022,Peeke-Blankenburg,CBJ,pairing,27,13518,5,12,24,101,23,26,14,12,22
2022,Lindblom-Sturm-Bonino,SJS,line,12,1803,4,1,2,13,8,3,3,0,0
2022,Holden-Zaitsev,OTT,pairing,19,2764,1,5,13,35,3,3,1,3,9
2022,Strome-Mctavish-Vatrano,ANA,line,18,3845,1,8,16,28,8,9,5,2,4
2022,Hughes-Haula-Mercer,NJD,line,27,8367,12,9,20,40,17,35,7,2,4
2022,Marchment-Johnston-Gurianov,DAL,line,16,624,0,0,0,7,4,1,0,0,0
2022,Joseph-Ruhwedel,PIT,pairing,33,18172,15,26,56,184,43,61,13,31,62
2022,Bayreuther-Peeke,CBJ,pairing,28,8015,7,9,21,57,18,20,7,12,25
2022,Greer-Foligno-Nosek,BOS,line,23,6687,2,10,23,101,22,10,3,6,13
2022,Heiskanen-Miller,DAL,pairing,62,38948,35,45,95,265,83,112,22,42,87
2022,Joshua-Aman-Boeser,VAN,line,21,631,0,1,2,12,1,3,2,0,0
2022,Harris-Barron,MTL,pairing,20,4263,2,4,14,24,4,6,3,7,22
2022,Jones-Phillips,CHI,pairing,15,5150,5,4,11,44,20,9,6,4,11
2022,Wood-Haula-Tatar,NJD,line,11,2257,2,2,4,12,3,7,0,1,2
2022,Hall-Bergeron-Pastrnak,BOS,line,10,642,1,2,4,1,0,1,0,0,0
2022,Mangiapane-Kadri-Coleman,CGY,line,25,1142,0,2,4,11,0,3,0,2,4
2022,Boeser-Miller-Podkolzin,VAN,line,13,691,1,0,0,7,0,0,1,0,0
2022,Pettersson-Ruhwedel,PIT,pairing,21,1404,0,1,2,8,2,3,1,1,2
2022,Romanov-Pulock,NYI,pairing,64,14332,12,16,35,144,15,25,7,13,29
2022,Lafrenire-Goodrow-Kakko,NYR,line,11,1264,0,3,9,14,2,2,0,3,9
2022,Joshua-Lazar-Studnicka,VAN,line,10,1944,1,5,10,29,4,2,0,3,8
2022,Lafrenire-Trocheck-Goodrow,NYR,line,10,713,1,2,4,6,4,3,0,1,2
2022,Lehkonen-Compher-Rantanen,COL,line,29,5662,4,4,8,25,17,9,3,4,8
2022,Lee-Horvat-Fasching,NYI,line,10,887,0,1,2,2,1,1,2,1,2
2022,Irwin-Van Riemsdyk,WSH,pairing,30,10762,6,12,33,83,21,21,4,17,43
2022,Teravainen-Aho-Jarvis,CAR,line,35,17251,14,17,37,62,53,58,12,20,43
2022,Roy-Walker,LAK,pairing,35,2097,2,3,6,14,2,4,2,4,8
2022,Bratt-Haula-Hughes,NJD,line,31,10424,9,8,19,44,25,38,6,12,27
2022,Bratt-Hughes-Sharangovich,NJD,line,31,7056,5,9,18,19,19,30,8,7,14
2022,Athanasiou-Dickinson-Kane,CHI,line,18,2380,1,5,10,9,9,5,4,1,2
2022,Cotter-Karlsson-Marchessault,VGK,line,25,2429,2,4,8,11,2,5,1,3,6
2022,Parise-Pageau-Fasching,NYI,line,18,4867,6,3,6,37,18,15,2,2,4
2022,Byram-Makar,COL,pairing,19,3764,2,2,4,26,16,10,1,3,6
2022,Ritchie-Hayton-Kassian,ARI,line,12,3216,1,6,12,35,4,12,2,6,12
2022,Ekman-Larsson-Stillman,VAN,pairing,10,762,0,0,0,5,1,0,1,0,0
